                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0446,                 3.2536,                 1.8093,                0.00932,                      1,                  0.995,                0.15061,                 1.8095,                 3.1232,                  1.657,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.5184,                 2.7179,                  1.352,                0.00955,                      1,                0.92481,                0.58207,                 1.2353,                 2.7632,                 1.0119,             0.00020911,             0.00020911,             0.00020911
                      3,                 1.2132,                 1.5194,                 1.1306,                0.98126,                      1,                  0.995,                0.81761,                0.85256,                 1.9998,                 0.6862,             0.00030634,             0.00030634,             0.00030634
                      4,                0.96854,                  1.105,                 1.0715,                0.99282,                      1,                  0.995,                0.55856,                 0.9054,                 2.0966,                0.87484,             0.00039169,             0.00039169,             0.00039169
                      5,                0.94767,                0.99736,                 1.0381,                0.00794,                      1,                  0.995,                0.57907,                 1.0226,                 2.2212,                 1.1709,             0.00046516,             0.00046516,             0.00046516
                      6,                0.94524,                 1.0288,                  1.041,                0.98464,                      1,                  0.995,                0.64169,                 1.2473,                 1.4596,                 1.4316,             0.00052675,             0.00052675,             0.00052675
                      7,                0.85472,                0.82873,                 1.0143,                0.99575,                      1,                  0.995,                  0.826,                 0.8031,                0.76006,                 1.0202,             0.00057646,             0.00057646,             0.00057646
                      8,                0.77411,                0.78971,                0.98611,                0.99122,                      1,                  0.995,                0.65761,                 1.3948,                  1.107,                 1.5138,             0.00061429,             0.00061429,             0.00061429
                      9,                 1.0291,                 0.8081,                 1.0413,                0.99257,                      1,                  0.995,                0.74719,                0.92671,                0.90097,                 1.0879,             0.00064024,             0.00064024,             0.00064024
                     10,                0.90169,                0.79686,                0.99942,                0.99553,                      1,                  0.995,                0.85536,                0.75516,                0.74884,                 1.0279,             0.00065431,             0.00065431,             0.00065431
                     11,                0.80692,                0.94212,                0.97599,                0.99652,                      1,                  0.995,                0.81039,                0.83165,                 0.7049,                 1.0231,              0.0006565,              0.0006565,              0.0006565
                     12,                0.69335,                0.87895,                0.93822,                0.99605,                      1,                  0.995,                0.77082,                0.87373,                0.84386,                 1.0206,             0.00064681,             0.00064681,             0.00064681
                     13,                0.55301,                0.72143,                0.91667,                0.99663,                      1,                  0.995,                0.81089,                 0.7606,                0.67188,                 1.0327,             0.00062524,             0.00062524,             0.00062524
                     14,                0.51394,                0.63749,                0.89524,                0.99667,                      1,                  0.995,                0.85978,                0.57437,                0.59118,                   0.94,             0.00059179,             0.00059179,             0.00059179
                     15,                0.47664,                0.62154,                0.89554,                0.99687,                      1,                  0.995,                0.89664,                0.52424,                0.54599,                0.91689,             0.00054646,             0.00054646,             0.00054646
                     16,                0.51363,                0.57533,                0.87005,                0.99683,                      1,                  0.995,                0.91339,                0.44999,                 0.5119,                0.88389,             0.00048925,             0.00048925,             0.00048925
                     17,                0.45577,                0.55028,                0.87003,                0.99684,                      1,                  0.995,                0.96506,                0.32647,                0.47554,                0.84598,               0.000416,               0.000416,               0.000416
                     18,                0.45561,                0.56469,                0.84624,                0.99675,                      1,                  0.995,                  0.995,                0.30777,                0.50426,                0.83794,               0.000416,               0.000416,               0.000416
                     19,                0.45928,                0.55943,                0.91752,                0.99667,                      1,                  0.995,                0.96918,                0.37742,                0.50791,                0.85229,               0.000317,               0.000317,               0.000317
                     20,                0.44951,                0.59704,                0.90392,                0.99659,                      1,                  0.995,                0.94115,                0.36463,                0.51813,                 0.8552,               0.000218,               0.000218,               0.000218
